resume,category
"python machine learning deep learning tensorflow keras nlp data analysis pandas numpy","Data Science"
"data analysis visualization powerbi tableau pandas numpy statistics","Data Science"
"flask django api backend python rest services","Backend Development"
"spring boot java microservices rest api backend","Backend Development"
"html css javascript react frontend ui ux responsive design","Web Development"
"node js express backend api mongodb","Backend Development"
"mysql postgresql database sql queries indexing optimization","Database"
"recruitment onboarding hr policies employee engagement","HR"
"nlp transformers bert sentiment analysis text classification","Data Science"
"javascript react redux frontend development","Web Development"
"python flask machine learning model deployment","Data Science"
"java spring boot backend rest api microservices","Backend Development"
"sql database design normalization queries","Database"
"human resource management hiring recruitment","HR"
